movie_id,predicted_revenue
11.0,203804275.817458
14.0,135514831.89848092
16.0,152882255.39299628
19.0,1103326825.3423536
33.0,218926940.6446269
62.0,291930949.93493474
73.0,180519935.29576007
90.0,125464979.23256364
107.0,53508377.406904906
114.0,207304414.51601115
115.0,166771869.81000236
116.0,139612923.8653551
137.0,101449749.48693547
142.0,191381404.6309521
146.0,213372587.2504827
154.0,175927469.3538821
184.0,282434044.135054
214.0,88043472.41727722
227.0,-37983818.676774934
240.0,351203228.1945894
319.0,162005874.81286874
327.0,46434745.00411129
387.0,247677940.95680997
400.0,21811782.91580555
454.0,151099238.14566138
489.0,93778537.02857551
492.0,92263777.8147696
578.0,161760321.57896557
586.0,53794618.714140475
601.0,193069296.22516462
613.0,283265682.6109742
663.0,39011344.50667295
687.0,91665608.71496099
691.0,221493030.0550395
744.0,186766255.31657317
771.0,172165718.50083366
796.0,19378774.792081296
801.0,110321411.77934733
844.0,180059146.40319481
860.0,144328693.26613447
864.0,111056259.24129745
873.0,240116704.7744368
907.0,364429424.4678501
927.0,133872505.22793558
947.0,479731606.3356776
1018.0,204546401.0423545
1090.0,142414597.0664238
1165.0,73407469.8783822
1245.0,163975640.14125213
1251.0,276339001.7172209
1255.0,115634988.72543049
1360.0,133499899.23808226
1440.0,329466691.2362591
1542.0,20433702.064141154
1562.0,149643343.64404806
1587.0,106193550.80533424
1588.0,264528540.38361725
1648.0,93590093.9219512
1817.0,-33119573.35606432
1832.0,220119324.57959476
1913.0,121269958.56444108
1931.0,87439752.08773202
1948.0,24319672.83910525
1951.0,182314732.22712848
1954.0,152022190.53464088
1970.0,53096593.2265732
1988.0,61874706.051674396
2013.0,91864440.82886478
2105.0,95966092.47140431
2142.0,57241032.909526676
2266.0,134655779.45184144
2493.0,209810656.11793467
2604.0,199735122.23219422
3049.0,82792862.70869401
3175.0,321934913.6119932
3682.0,61289283.86874309
3877.0,117057860.94799837
4011.0,113767356.65472054
4911.0,90315708.25229043
4951.0,92360100.70988813
4995.0,243385513.3018104
5172.0,107285192.89715847
5236.0,118927362.17781639
5876.0,267519282.7434021
6552.0,217531180.16477296
6615.0,77930154.2727308
6687.0,134470374.60529372
6961.0,116933655.96330893
7501.0,72363012.585195
7510.0,83015063.34659928
7874.0,115901980.73423922
7942.0,101347829.31239244
8009.0,238048651.72268865
8053.0,151840738.98791006
8265.0,104319810.0726465
8291.0,109661191.44661161
8321.0,69128646.74060282
8386.0,72787605.01266935
8461.0,155930235.5061716
8854.0,180164400.13989112
8859.0,51061825.534813195
8913.0,53230451.96630657
8922.0,46558976.171825945
8952.0,62741991.8496218
8975.0,114441045.6313267
9030.0,29678918.186911494
9100.0,83733903.93845713
9276.0,175407221.79400948
9281.0,70769112.67660534
9289.0,261675392.20304838
9355.0,172352498.78378198
9357.0,88096438.9278276
9362.0,87741588.92345923
9424.0,110031051.24653706
9448.0,99391234.32845652
9455.0,238743435.78776464
9493.0,151437841.78353998
9504.0,18841222.559287548
9515.0,-36409608.32932912
9552.0,64281099.6603584
9557.0,624254955.9173045
9576.0,274234129.5050502
9614.0,69518796.4852958
9672.0,74364517.97823754
9762.0,54038479.97070974
9781.0,19032540.19007671
9794.0,133078866.48627326
9800.0,265906621.23528162
9816.0,109421504.67200062
9877.0,119827476.10170844
9902.0,55448120.07687217
9942.0,107588618.60002005
9950.0,103961400.39261267
9952.0,130727309.8926521
10029.0,262948067.7423837
10045.0,44183249.195970595
10053.0,91564079.569105
10090.0,38957244.04239431
10131.0,43091335.53054854
